SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220823-0000185,14:36.9,2227.05,1429.15,1364.51,30.3,4188.47,118.17,85.85,30.3,4173.32,1252.372703,158.4198649,196.95,30.3,107.9744595,17.59310811,12.31108108,30.3,101.3412162,0,1.01,6.06,30.3,40.4,0,0,30.3,40.4,861.1211964,196.1891215,220.0051953,0,482.5953806,19.04661196,13.22689709,0,478.6810552,31398.31238,4271.395985,0,5320.503114,0
20220823-0000186,14:37.9,2227.05,1510.96,3144.13,30.3,4188.47,154.53,173.72,30.3,418.14,1180.780641,151.3640385,199.6174359,30.3,122.6049359,18.49076923,12.76096154,30.3,50.09211538,0,1.01,1.01,30.3,40.4,0,0,30.3,40.4,867.7935855,170.4185057,302.6132574,0,568.9194114,21.17307268,18.60843938,0,59.50403802,32008.19381,3241.446411,0,5001.031891,0
20220823-0000187,15:50.9,2227.05,1068.58,3144.13,30.3,4579.34,147.46,93.93,30.3,482.78,1189.072357,143.8574522,220.0320382,30.3,74.81719745,16.69394904,11.18076433,30.3,45.68802548,0,1.01,0,30.3,40.4,0,0,30.3,40.4,875.9875815,134.3370282,404.6468369,0,363.8426869,18.60388064,12.62013283,0,46.23250739,31502.08988,3515.539294,0,4963.334281,0
20220823-0000188,17:13.9,2224.02,937.28,2377.54,30.3,4183.42,184.83,220.18,30.3,4178.37,1260.834865,145.8016892,249.2311486,30.3,102.1942568,17.85243243,14.15364865,30.3,104.5622973,0,1.01,0,30.3,40.4,0,0,30.3,40.4,853.5635964,139.3746926,392.3386311,0,479.2446379,22.79016424,23.84198835,0,479.783979,31207.89506,3391.720514,0,4736.149889,0
20220823-0000189,18:26.9,2225.03,681.75,2377.54,30.3,4556.11,177.76,220.18,30.3,4174.33,1221.981176,144.0999346,221.3220261,30.3,97.11843137,18.49026144,14.24562092,30.3,75.32091503,0,2.02,7.07,30.3,40.4,0,0,30.3,40.4,865.0804546,115.0611054,327.1401032,0,492.9302514,21.73738575,24.96969612,0,337.16417,32091.01381,3114.918299,0,4825.433523,0
20220823-0000191,20:59.9,2227.05,1552.37,1446.32,30.3,4309.67,180.79,208.06,30.3,4170.29,1208.864379,154.3847712,198.0062092,30.3,95.55392157,18.66189542,14.93875817,30.3,72.9048366,0,2.02,3.03,30.3,40.4,0,0,30.3,40.4,866.664023,159.378992,236.8504014,0,478.9476795,22.4847197,27.61554659,0,335.8039238,31375.77625,3605.246235,0,5089.014405,0
20220823-0000192,22:16.4,2227.05,1552.37,2998.69,30.3,4309.67,182.81,209.07,30.3,498.94,1211.37039,165.6531169,218.5403896,30.3,100.8885065,18.88831169,16.08785714,30.3,51.49032468,0,1.01,9.09,30.3,40.4,0,0,30.3,40.4,865.5769452,207.6234551,329.6145016,0,478.3210403,22.86853169,30.1198648,0,68.09436638,31689.76,3149.640164,0,4918.540499,0
20220823-0000193,23:33.4,2223.01,1086.76,1447.33,30.3,4656.1,182.81,209.07,30.3,4177.36,1222.179216,158.9924837,182.4271242,30.3,79.4269281,21.41464052,14.07398693,30.3,72.67379085,0,0,1.01,30.3,40.4,0,0,30.3,40.4,870.5540253,176.2249183,212.3154574,0,376.4751335,31.38282418,23.92980743,0,336.0497309,31286.88009,3504.623019,0,5068.634281,0
20220823-0000194,24:50.4,2226.04,1216.04,2057.37,30.3,4184.43,177.76,116.15,30.3,434.3,1220.624351,155.7433117,196.1236364,30.3,123.8692857,18.42266234,12.00850649,30.3,47.96188312,0,0,1.01,30.3,40.4,0,0,30.3,40.4,870.1093634,160.8114798,262.9348806,0,572.7868209,20.85469837,14.6281155,0,53.66073789,31572.28488,3480.338372,0,5100.417347,0
20220823-0000195,26:06.9,2228.06,1082.72,2057.37,30.3,4666.2,178.77,145.44,30.3,4169.28,1188.294323,146.7562581,208.4249032,30.3,154.934,16.45974194,12.83677419,30.3,74.72045161,0,0,2.02,30.3,40.4,0,0,30.3,40.4,873.0766549,152.6433407,289.5954522,0,687.4078004,17.45570823,17.74210819,0,334.4024468,31286.80131,3361.244288,0,4943.988516,0
20220823-0000196,27:24.9,2228.06,1127.16,3043.13,30.3,4666.2,132.31,207.05,30.3,4169.28,1207.677987,152.2935714,237.0286364,30.3,101.0721429,17.47824675,14.31051948,30.3,72.16909091,0,1.01,5.05,30.3,40.4,0,0,30.3,40.4,872.3974344,156.5665012,434.4904643,0,504.3863938,17.91587897,25.78681786,0,334.0540324,32060.76128,3333.545744,0,4920.666527,0
20220823-0000197,28:41.9,2226.04,1088.78,3043.13,30.3,4677.31,132.31,113.12,30.3,4170.29,1221.723725,150.1665359,247.0869281,30.3,158.0484967,17.23601307,14.08718954,30.3,101.8185621,0,2.02,4.04,30.3,40.4,0,0,30.3,40.4,863.1794461,152.6806442,393.7835068,0,701.7200951,18.34313271,18.81192721,0,470.1406431,31776.96744,3394.074121,0,5008.717475,0
20220823-0000198,29:57.9,2226.04,970.61,1978.59,30.3,4277.35,104.03,136.35,30.3,462.58,1216.548258,150.7050323,175.8768387,30.3,148.0073548,17.84116129,11.76812903,30.3,50.68896774,0,1.01,8.08,30.3,40.4,0,0,30.3,40.4,871.2466177,132.0783768,211.4894846,0,661.1286858,16.11919473,16.57986291,0,63.26485218,31931.4025,3398.341932,0,5023.443181,0
20220823-0000199,31:39.8,2226.04,1446.32,2215.94,30.3,4205.64,132.31,157.56,30.3,462.58,1206.250261,141.6904575,227.9035294,30.3,97.29666667,15.6054902,13.96176471,30.3,45.74705882,0,1.01,7.07,30.3,40.4,0,0,30.3,40.4,870.9732373,160.6656477,321.842682,0,471.9654458,14.57617038,20.77692289,0,46.48720646,32057.87369,3476.238,0,5141.010075,0
20220823-0000200,32:32.4,2224.02,1571.56,2377.54,30.3,4205.64,184.83,159.58,30.3,467.63,1221.834211,148.8088816,225.6685526,30.3,125.1403289,17.35605263,15.43572368,30.3,48.28065789,0,1.01,8.08,30.3,40.4,0,0,30.3,40.4,863.7767248,176.9955633,351.6493948,0,578.2928972,21.25970175,24.62353111,0,55.62358484,32096.80616,3360.684274,0,4986.870727,0
20220823-0000201,33:48.4,2226.04,1571.56,2216.95,30.3,4271.29,184.83,153.52,30.3,435.31,1197.704615,161.5482051,190.6957692,30.3,158.5182051,20.09641026,12.24948718,30.3,55.30397436,0,1.01,10.1,30.3,40.4,0,0,30.3,40.4,883.956256,191.2935083,275.7477325,0,663.8871289,26.43966272,18.89786352,0,74.54728946,32085.175,3417.926506,0,5060.054117,0
20220823-0000202,35:05.4,2226.04,1179.68,2389.66,30.3,4181.4,177.76,182.81,30.3,502.98,1213.337922,160.8785714,193.8281818,30.3,72.93642857,18.82928571,13.10376623,30.3,53.85792208,0,1.01,14.14,30.3,40.4,0,0,30.3,40.4,871.8813416,177.3431215,317.5642669,0,335.7327,23.6132808,20.05569349,0,73.82468406,32057.32122,3369.566842,0,4971.65307,0
20220823-0000203,36:22.4,2228.06,1522.07,1776.59,30.3,4448.04,176.75,131.3,30.3,4173.32,1209.153636,153.074026,195.3431818,30.3,159.8357792,18.63909091,12.49383117,30.3,99.07181818,0,0,4.04,30.3,40.4,0,0,30.3,40.4,869.8361167,154.4147242,270.040992,0,698.6863401,24.45002499,16.74331291,0,469.3958149,31690.09128,3373.203833,0,5015.780782,0
20220823-0000204,37:48.9,2231.09,998.89,1676.6,30.3,4204.63,80.8,163.62,30.3,435.31,1213.410065,166.5188312,210.5718831,30.3,99.62928571,16.59285714,13.06441558,30.3,50.51967532,0,2.02,3.03,30.3,40.4,0,0,30.3,40.4,875.923335,183.8467758,301.579605,0,471.6675377,13.71289041,18.24647124,0,61.9903572,31609.7175,3357.766892,0,4914.39589,0
20220823-0000205,38:56.4,2226.04,1513.99,2147.26,30.3,4204.63,80.8,95.95,30.3,473.69,1198.740513,171.6223077,204.0976923,30.3,157.2362821,15.97871795,12.53435897,30.3,56.06794872,0,0,1.01,30.3,40.4,0,0,30.3,40.4,879.9858714,213.755837,307.9219121,0,657.3207664,13.06791522,16.37714884,0,78.48568911,31611.42238,3418.587973,0,5087.590295,0
20220823-0000206,38:57.4,2226.04,1513.99,2147.26,30.3,452.48,154.53,116.15,30.3,473.69,1221.181226,162.1017419,211.7937419,30.3,45.6976129,17.46322581,12.53703226,30.3,53.02174194,0,1.01,1.01,30.3,40.4,0,0,30.3,40.4,866.2757869,210.1503655,321.2334819,0,46.10905237,19.62102611,16.50633577,0,69.24904006,31826.89881,3388.820385,0,4984.109871,0
