Exp.,Forming angle [o ],Tool diameter,Hole width,Step down,Feed rate,Spring-back
,,[mm],[mm],[mm],[mm/min],[mm]
1,50,12,3,0.4,1500,0.04
2,60,16,5,1,1500,1.355
3,60,12,3,1,1000,1.021
4,55,12,0,1,500,0.961
5,50,16,5,0.4,1000,0.085
6,50,16,3,1,500,0.383
7,55,16,0,0.4,1500,1.496
8,55,8,5,1,1000,1.965
9,55,8,3,0.4,500,1.598
10,60,12,5,0.4,500,0.624
11,55,12,5,0.7,1500,0.854
12,50,8,5,0.7,500,1.003
13,50,8,0,1,1500,1.367
14,55,16,3,0.7,1000,0.524
15,60,8,3,0.7,1500,2.393
16,60,16,0,0.7,500,1.458
17,50,12,0,0.7,1000,0.711
18,60,8,0,0.4,1000,2.116
