Age,Population
1,3125
2,3101
3,3211
4,3759
5,3961
6,4472
7,5510
8,6048
9,6172
10,6899
11,7638
12,8465
13,8618
14,8873
15,8769
16,8683
17,7817
18,7598
19,7008
20,6365
21,6111
22,5912
23,5721
24,6020
25,6293
26,6497
27,6349
28,5962
29,5410
30,5167
31,5102
32,5331
33,5656
34,6439
35,6654
36,7132
37,7920
38,8069
39,8836
40,8951
41,8755
42,8483
43,8845
44,8418
45,9200
46,8731
47,9650
48,9117
49,8086
50,7143
51,7423
52,6553
53,6568
54,5349
55,5423
56,5292
57,3987
58,4273
59,4377
60,4067
61,3680
62,2427
63,2853
64,3140
65,3500
66,3448
67,2897
68,2754
69,2699
70,2616
71,2356
72,2346
73,2344
74,2035
75,1867
76,1757
77,1461
78,1198
79,1214
80,1115
81,973
82,766
83,669
84,515
85,546
86,424
87,301
88,295
89,207
90,160
91,141
92,86
93,73
94,46
95,34
96,24
97,27
98,8
99,18
