cutting speed,feed rate,rake angle,cutting edge radius,cutting force
30,0.1,-5,0.06,158.3
30,0.17,-5,0.02,213.53
30,0.17,-5,0.04,224.81
30,0.17,-5,0.06,233.19
30,0.17,0,0.06,216.03
30,0.17,5,0.06,201.24
30,0.25,-5,0.06,318.26
50,0.1,-5,0.02,132.51
50,0.1,-5,0.04,140.81
50,0.1,-5,0.06,151.95
50,0.1,0,0.06,141.79
50,0.1,5,0.06,134.04
50,0.17,-5,0.02,205.76
50,0.17,-5,0.04,221.11
50,0.17,-5,0.06,231.95
50,0.17,0,0.02,191.29
50,0.17,0,0.04,203.68
50,0.17,0,0.06,213.43
50,0.17,5,0.02,176.66
50,0.17,5,0.04,190.13
50,0.17,5,0.06,201.88
50,0.25,-5,0.02,277.96
50,0.25,-5,0.04,296.57
50,0.25,-5,0.06,304.22
50,0.25,0,0.06,290.14
50,0.25,5,0.06,269.98
70,0.1,-5,0.06,150.98
70,0.17,-5,0.02,198.39
70,0.17,-5,0.04,211.81
70,0.17,-5,0.06,229.25
70,0.17,0,0.06,211.95
70,0.17,5,0.06,200.8
70,0.25,5,0.06,285.21
30,0.1,0,0.02,127.89
30,0.1,0,0.04,136.33
30,0.1,5,0.02,118.01
30,0.1,5,0.04,126.16
30,0.25,0,0.02,267.65
30,0.25,0,0.04,285.37
30,0.25,5,0.02,245.44
30,0.25,5,0.04,263.58
70,0.1,0,0.02,120.32
70,0.1,0,0.04,129.27
70,0.1,5,0.02,111.38
70,0.1,5,0.04,119.46
70,0.25,0,0.03,244.37
70,0.25,0,0.04,261.33
70,0.25,5,0.02,226.03
70,0.25,5,0.04,245.58
