strain,stress
0,456
0.01,503.062256
0.02,557.8500144
0.03,608.7456914
0.04,653.5232507
0.05,692.1704172
0.06,725.3648449
0.07,753.9510267
0.08,778.742195
0.09,800.450208
0.1,819.669375
0.11,836.8827254
0.12,852.4765383
0.13,866.7566942
0.14,879.9640459
0.15,892.2877536
0.16,903.8763521
0.17,914.8466884
0.18,925.2910117
0.19,935.2825263
0.2,944.879706
0.21,954.1296245
0.22,963.0705157
0.23,971.7337381
0.24,980.1452791
0.25,988.3269078
0.26,996.2970588
0.27,1004.071511
0.28,1011.66391
0.29,1019.086175
0.3,1026.348809
0.31,1033.46115
0.32,1040.43156
0.33,1047.26758
0.34,1053.976051
0.35,1060.563215
0.36,1067.034793
0.37,1073.396049
0.38,1079.65185
0.39,1085.806704
0.4,1091.864806
0.41,1097.830064
0.42,1103.706131
0.43,1109.496426
0.44,1115.20416
0.45,1120.832349
0.46,1126.383832
0.47,1131.861288
0.48,1137.267245
